OID,ELE_NS,ELE_NAME,LABEL_ZH,LABEL_EN,LABEL_TYPE,ELE_TYPE,ELE_SUBGROUP,ELE_BALANCE,ELE_PERIOD,ELE_ISABSTRACT,ELE_ISNILL
153828,c-ross,TypesOfDomesticInvestmentAssetsMeasuredAtFairValueWithDefiniteTermMember,以公允价值计量且具有明确期限的境内投资资产类别 [member],Types of domestic investment assets measured at fair value with definite term [member],标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
153830,c-ross,CounterpartyDefaultRiskBankDepositsOtherDepositTakingInstitutionsTermDepositsAndNegotiatedDepositsAbstract,CR03-交易对手违约风险，银行存款，其他存款机构的定期存款、协议存款 [abstract],"CR03-Counterparty default risk, bank deposits, other deposit-taking institutions, term deposits and negotiated deposits [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
153835,c-ross,CounterpartyDefaultRiskEnterpriseBondsCorporateBondsResidualYears,交易对手违约风险，企业债、公司债，剩余年限,"Counterparty default risk, enterprise bonds, corporate bonds, residual years",标准标签,xbrli:decimalItemType,xbrli:item,,instant,FALSE,TRUE
153836,c-ross,LiquidityRiskProjectOnCashOutflowsInNextQuarter,流动性风险，未来一个季度内的现金流出预测,"Liquidity risk, project on cash outflows in next quarter",标准标签,xbrli:monetaryItemType,xbrli:item,credit,instant,FALSE,TRUE
153838,c-ross,EquityPriceRiskAlternativeAssetManagementProductsCannotBeLookedThroughAbstract,MR16-权益价格风险，无法穿透的资产管理产品，另类 [abstract],"MR16-Equity price risk, alternative asset management products cannot be looked through [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
153847,c-ross,CounterpartyDefaultRiskPropertyDebtInvestmentPlansCreditRatingsForAssets,交易对手违约风险，不动产债权投资计划，资产的信用评级,"Counterparty default risk, property debt investment plans, credit ratings for assets",标准标签,sti:creditRatingItemType,xbrli:item,,instant,FALSE,TRUE
153851,c-ross,CounterpartyDefaultRiskCashAndLiquidityManagementInstrumentsMinimumCapital,交易对手违约风险，现金及流动性管理工具，最低资本,"Counterparty default risk, cash and liquidity management instruments, minimum capital",标准标签,xbrli:monetaryItemType,xbrli:item,,instant,FALSE,TRUE
153858,c-ross,EquityPriceRiskHeldByCompanyDirectlyPreferredSharesIssuedByNonListedPublicJointStockCommercialBankOrPostSavingsBankWithCapitalAdequacyRatiosAtAllTiersEntirelyMeetingRegulatoryRequirementsWithTermsOnObligatoryConversionToCommonStockAbstract,MR20-权益价格风险，公司直接持有的，非上市公众公司中各级资本充足率全部达到监管要求的股份制商业银行、邮政储蓄银行发行的，带有强制转换为普通股条款的优先股 [abstract],"MR20-Equity price risk, held by company directly, preferred shares issued by non-listed public joint-stock commercial bank or post savings bank with capital adequacy ratios at all tiers entirely meeting regulatory requirements, with terms on obligatory conversion to common stock [abstract]",标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
153861,c-ross,TableOfSolvencyStatusAbstract,S01-偿付能力状况表 [abstract],S01-Table of solvency status [abstract],标准标签,xbrli:stringItemType,xbrli:item,,duration,TRUE,TRUE
153874,c-ross,PrepaidIndemnitiesUnderSolvencyIIMember,偿二代下预付赔款 [member],Prepaid indemnities under Solvency II [member],标准标签,nonnum:domainItemType,xbrli:item,,duration,TRUE,TRUE
