fixed acidity,citric acid,residual sugar,free sulfur dioxide,sulphates,alcohol,quality
7.4,0,1.9,11,0.56,9.4,5
7.8,0,2.6,25,0.68,9.8,5
7.8,0.04,2.3,15,0.65,9.8,5
11.2,0.56,1.9,17,0.58,9.8,6
7.4,0,1.9,11,0.56,9.4,5
7.4,0,1.8,13,0.56,9.4,5
7.9,0.06,1.6,15,0.46,9.4,5
7.3,0,1.2,15,0.47,10,7
7.8,0.02,2,9,0.57,9.5,7
7.5,0.36,6.1,17,0.8,10.5,5
6.7,0.08,1.8,15,0.54,9.2,5
7.5,0.36,6.1,17,0.8,10.5,5
5.6,0,1.6,16,0.52,9.9,5
7.8,0.29,1.6,9,1.56,9.1,5
8.9,0.18,3.8,52,0.88,9.2,5
8.9,0.19,3.9,51,0.93,9.2,5
8.5,0.56,1.8,35,0.75,10.5,7
8.1,0.28,1.7,16,1.28,9.3,5
7.4,0.08,4.4,6,0.5,9,4
7.9,0.51,1.8,17,1.08,9.2,6
8.9,0.48,1.8,29,0.53,9.4,6
7.6,0.31,2.3,23,0.65,9.7,5
7.9,0.21,1.6,10,0.91,9.5,5
8.5,0.11,2.3,9,0.53,9.4,5
6.9,0.14,2.4,21,0.63,9.7,6
6.3,0.16,1.4,11,0.56,9.3,5
7.6,0.24,1.8,4,0.59,9.5,5
7.9,0.21,1.6,10,0.91,9.5,5
7.1,0,1.9,14,0.55,9.4,5
7.8,0,2,8,0.59,9.8,6
6.7,0.07,2.4,17,0.54,10.1,5
6.9,0,2.5,22,0.57,10.6,6
8.3,0.12,2.3,15,0.66,9.8,5
6.9,0.12,10.7,40,0.52,9.4,6
5.2,0.25,1.8,13,0.55,9.2,5
7.8,0,5.5,5,0.55,9.6,6
7.8,0.14,2.4,3,0.6,10.8,6
8.1,0.28,2.1,13,0.73,9.7,7
5.7,0.09,1.5,7,0.48,9.8,4
7.3,0.36,5.9,12,0.83,10.5,5
7.3,0.36,5.9,12,0.83,10.5,5
8.8,0.3,2.8,17,0.51,9.3,4
7.5,0.2,2.6,8,0.9,10.5,6
