father,son,abstract
TableOfSolvencyStatusAbstract,TableOfAvailableCapitalAbstract,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,TableOfAdmittedAssetsAbstract,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,TableOfAdmittedLiabilitiesAbstract,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,TableOfMinimumCapitalAbstract,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,AdmittedAssetsUnderSolvencyII,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,AdmittedLiabilitiesUnderSolvencyII,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,AvailableCapitalUnderSolvencyII,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,MinimumCapitalUnderSolvencyII,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,CoreSolvencySurplus,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,CoreSolvencyAdequacyRatio,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,ComprehensiveSolvencySurplus,TableOfSolvencyStatusAbstract
TableOfSolvencyStatusAbstract,ComprehensiveSolvencyAdequacyRatio,TableOfSolvencyStatusAbstract
AvailableCapitalUnderSolvencyII,CoreTierOneCapitalUnderSolvencyII,TableOfSolvencyStatusAbstract
AvailableCapitalUnderSolvencyII,CoreTierTwoCapital,TableOfSolvencyStatusAbstract
AvailableCapitalUnderSolvencyII,SupplementaryTierOneCapital,TableOfSolvencyStatusAbstract
AvailableCapitalUnderSolvencyII,SupplementaryTierTwoCapital,TableOfSolvencyStatusAbstract
MinimumCapitalUnderSolvencyII,MinimumCapitalForQuantifiableRisk,TableOfSolvencyStatusAbstract
MinimumCapitalUnderSolvencyII,MinimumCapitalForControlRisk,TableOfSolvencyStatusAbstract
MinimumCapitalUnderSolvencyII,AdditionalCapital,TableOfSolvencyStatusAbstract
